RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL650_none_aortic_HAoEC_none_hsap_1487_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL647_none_aortic_HAoEC_none_hsap_2139_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL649_none_aortic_HAoEC_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam	WL645_none_aortic_HAoEC_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam
NM_000078	1.69035098230401	-0.896098126573196	4.35986007335934	0.0367953274763706	0.424637362429925	chr16	+	56995834	57017756	CETP	21922	1717	-0.628354448346225	-6.92635048729141	-0.0724926441701824	-1.43280662120195
NM_000079	-5.59460827575818	-2.43317560971791	11.4583257283325	0.000711743964564139	0.0188781613458203	chr2	-	175612322	175629200	CHRNA1	16878	1981	-0.985695349232201	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000080	1.34389013459607	1.47609394617972	0.829068292883795	0.36254208023823	1	chr17	-	4801063	4806369	CHRNE	5306	2460	-6.92635048729141	2.82690945759961	0.156983921828463	1.37810000176197
NM_000082	-1.08721461080809	0.73511331909216	4.15318277409709	0.041556342729859	0.463482932048333	chr5	-	60169658	60240905	ERCC8	71247	2044	1.25433761033508	0.977125774615349	0.307922777703711	-0.24461682066987
NM_000083	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	+	143013218	143049097	CLCN1	35879	3093	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000085	-6.68874196409793	-1.96816395597352	18.489476603503	1.70845020975869e-05	0.00118515128470367	chr1	+	16370230	16383821	CLCNKB	13591	2626	-6.92635048729141	-0.450022570013496	-6.9263504872914	-6.92635048729141
NM_000087	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	-	47937993	48014961	CNGA1	76968	2783	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000088	8.44061083044632	-0.279148926597959	36.5031237049652	1.52421790195937e-09	8.01823295202957e-07	chr17	-	48261456	48279000	COL1A1	17544	5927	-6.92635048729141	-6.92635048729141	1.68052590506726	-6.92635048729141
NM_000089	0.479892856091467	2.72253189383591	0.607061265637455	0.435896445972399	1	chr7	+	94023872	94060544	COL1A2	36672	5411	3.76534083054523	-1.2161024850134	3.46930549774397	0.236789236012063
NM_000090	0.443468329665179	0.137801598575954	0.595399651683656	0.440338670152967	1	chr2	+	189839098	189877472	COL3A1	38374	5489	0.650276765498566	-1.69054874406503	0.889687847234531	-0.972243967184711
NM_000091	1.6665552997375e-17	-3.92635065335074	0	1	1	chr2	+	228029280	228179508	COL4A3	150228	8097	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000092	-3.8748952540924	-3.32923018172685	4.2767113554131	0.038638037091919	0.438422496373135	chr2	-	227867426	228029275	COL4A4	161849	10341	-2.73549210010083	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000093	0.119150730465562	9.1505384754496	0.0635554300828289	0.800962206203619	1	chr9	+	137533650	137736688	COL5A1	203038	8439	9.27480488752719	8.88215904788046	9.35974339883879	9.03552160286346
NM_000094	5.19928362217703	-2.80223102231873	9.35658903212642	0.00222185252489488	0.04598627663001	chr3	-	48601505	48632593	COL7A1	31088	9133	-6.92635048729141	-6.92635048729141	-6.9263504872914	-1.80174338626191
NM_000095	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	18893582	18902114	COMP	8532	2452	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000096	1.6665552997375e-17	-3.92635065335074	0	1	1	chr3	-	148890289	148939832	CP	49543	4662	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000097	0.38293234328479	2.31177528013903	0.573520005519574	0.448863540590335	1	chr3	-	98298289	98312455	CPOX	14166	2709	1.9006933787087	2.26407428271175	2.583223749172	2.35239500034317
NM_000098	-0.110180070710253	5.34418121476515	0.0538573461075487	0.816482204238672	1	chr1	+	53662100	53679869	CPT2	17769	3094	5.50545693814482	5.28106150611913	5.34881168129074	5.21731348439665
NM_000100	0.282683636952655	7.34207459801781	0.356913592819467	0.550225363691921	1	chr21	-	45193545	45196256	CSTB	2711	940	7.44484309713064	6.89389760868072	7.70605859996317	7.19803861641421
NM_000101	0.183282345565757	1.36690209303566	0.0707884234762654	0.790192276892102	1	chr16	-	88709696	88717492	CYBA	7796	723	-4.51607163017132	2.20867600375948	-4.3448530344316	2.39122223837773
NM_000102	1.6665552997375e-17	-3.92635065335074	0	1	1	chr10	-	104590287	104597290	CYP17A1	7003	1870	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000104	1.6665552997375e-17	-3.92635065335074	0	1	1	chr2	-	38294745	38303323	CYP1B1	8578	5153	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000106	1.6665552997375e-17	-3.92635065335074	0	1	1	chr22	-	42522500	42526883	CYP2D6	4383	1	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000107	-0.114692542007692	5.6696461203712	0.0574601478843775	0.8105562726264	1	chr11	+	47236492	47260769	DDB2	24277	1848	5.58439437407512	5.8338614883313	5.32245234519118	5.86593057992482
NM_000109	-0.755942683396673	2.54831708320712	1.56390201304545	0.211094803913871	1	chrX	-	31137344	33357726	DMD	2220382	14069	2.34547480562875	3.00548011461056	0.720562868188553	3.05979543887456
NM_000110	0.222956668306315	4.09636114583689	0.218150654957571	0.640452653679226	1	chr1	-	97543299	98386615	DPYD	843316	4447	4.12646149251047	3.80754824301762	4.3548943430315	4.02492396851413
NM_000111	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	-	107405911	107443678	SLC26A3	37767	2894	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000112	-0.367107891556899	5.08912495456185	0.58852279541177	0.442990913726262	1	chr5	+	149340299	149366963	SLC26A2	26664	8075	4.91328213604768	5.55167163888458	4.66800960922294	5.06354401692786
NM_000113	-0.188604219968579	6.0809842782012	0.14994454852912	0.698588355339695	1	chr9	-	132575220	132586441	TOR1A	11221	2106	6.15138129521166	6.16805335622273	5.70679523133581	6.23487388102426
NM_000115	-0.353708058708829	-0.435055096464164	0.348458408399786	0.554987087547084	1	chr13	-	78469615	78549664	EDNRB	80049	4282	-0.887726440062129	-0.0844522351731043	-1.57285595670214	-0.197764503087287
NM_000117	0.0845292498051914	5.77201350833387	0.0315229187768153	0.859078791703815	1	chrX	+	153607596	153609883	EMD	2287	1339	5.53777244042299	5.90384128466655	5.72926406100841	5.88169568509882
NM_000118	-0.00440221524407252	11.2732422698065	8.64333137542417e-05	0.992582212511562	1	chr9	-	130577290	130617052	ENG	39762	3201	11.2135087585003	11.3359340403704	11.2846300184747	11.2560129565672
NM_000119	1.6665552997375e-17	-3.92635065335074	0	1	1	chr15	-	43489425	43513323	EPB42	23898	2540	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000121	0.186518583774985	4.96006569290167	0.147758119622711	0.700687051870175	1	chr19	-	11487880	11495018	EPOR	7138	2441	4.68556590040727	5.02589958728507	5.0956690509414	4.9895621035892
NM_000122	0.141656028139825	4.90056764886731	0.0888841904212061	0.765600497766166	1	chr2	-	128014865	128051752	ERCC3	36887	2750	4.91667578907661	4.72888659521673	5.04283011210352	4.88598073482139
NM_000123	2.23007188438591	1.05192503979364	10.7316667870251	0.00105317538551963	0.0264523016591124	chr13	+	103498190	103528351	ERCC5	30161	514	0.148207286855709	-1.32089954043659	1.35027461801484	1.99721605993447
NM_000124	0.247709266034436	5.51034193855826	0.272168470249959	0.601880839633843	1	chr10	-	50662525	50747169	ERCC6	84644	7420	5.16801612275469	5.5572266238494	5.37184460650876	5.84859691267152
NM_000126	0.443232567882876	2.88911755113831	0.787522126010405	0.374850433355834	1	chr15	-	76508628	76603810	ETFA	95182	1354	2.18587694353988	3.02699139375092	2.9086987905734	3.19760782348494
NM_000127	0.0505219522073735	7.99713391125478	0.0114295371632096	0.914861162453954	1	chr8	-	118811601	119124058	EXT1	312457	3363	8.04012732292034	7.89987208035412	8.07379884374919	7.96723899179916
NM_000128	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	+	187187117	187210835	F11	23718	3278	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000129	1.6665552997375e-17	-3.92635065335074	0	1	1	chr6	-	6144310	6320924	F13A1	176614	3863	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000130	0.494749740858559	-0.292974433514112	0.52079812111877	0.470501424697889	1	chr1	-	169481191	169555769	F5	74578	9179	-0.709738462453674	-1.02690604490902	0.756011201246548	-1.66800419404354
NM_000132	-0.262915932157928	1.88823291913205	0.278609685926279	0.597613928987558	1	chrX	-	154064063	154250998	F8	186935	9035	2.47081118527864	1.25747050913642	2.25189197763828	0.9490520346366
NM_000133	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	+	138612894	138645617	F9	32723	2802	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000134	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	-	120238404	120243316	FABP2	4912	2249	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000135	-0.556403836669125	3.98683681461753	1.26151535297803	0.261364449755037	1	chr16	-	89803958	89883065	FANCA	79107	5460	4.24728748394095	4.19966395454646	3.40376696700685	3.92790726080474
NM_000136	-0.623428299275072	2.76338269037633	1.20129154620728	0.273063692562001	1	chr9	-	97861335	98079991	FANCC	218656	4592	3.50624006295116	2.42666115300455	2.1884390192926	2.49468815613039
NM_000137	-0.31300817620177	1.54666153167506	0.388406245304864	0.533138338647047	1	chr15	+	80445232	80478924	FAH	33692	1797	1.45438908550242	1.84683888253403	1.15165486596664	1.52499860399886
NM_000138	0.0522567064022272	7.63903665913813	0.0122072086113221	0.912023764164862	1	chr15	-	48700502	48937985	FBN1	237483	11695	7.67367530774313	7.54939304498174	7.68437297142464	7.64319303837707
NM_000139	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	+	59856136	59865940	MS4A2	9804	3648	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000140	-0.243873957580831	4.6596822358777	0.260659020826644	0.609667759821104	1	chr18	-	55212072	55253969	FECH	41897	7260	4.89275084849808	4.64789774341594	4.5543148030037	4.4984535523788
NM_000143	-0.357952635088836	3.82834380061339	0.554860876460406	0.456338316544131	1	chr1	-	241660856	241683085	FH	22229	1867	4.04817102215002	3.9239161543056	3.78459694243749	3.47206450975017
NM_000145	1.6665552997375e-17	-3.92635065335074	0	1	1	chr2	-	49189295	49381666	FSHR	192371	2774	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000146	0.175397359696118	10.4863407273368	0.13732694122109	0.710952989156557	1	chr19	+	49468565	49470136	FTL	1571	871	10.5973990012131	10.1469835134212	10.8389926000753	10.2561821458065
NM_000147	0.250139586595841	2.87669263274325	0.264924157559204	0.606757196119748	1	chr1	-	24171571	24194859	FUCA1	23288	2117	3.06120643995356	2.28207753017645	3.39816862157123	2.44388253311089
NM_000148	0.486909727902541	3.70599183868788	0.917073459222706	0.338244561398817	1	chr19	-	49251267	49258647	FUT1	7380	4246	3.39871192602884	3.41743600583445	4.27161604715793	3.51840066279742
NM_000150	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	5830636	5839742	FUT6	9106	3137	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000151	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	41052813	41066450	G6PC	13637	4161	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000152	0.162864933607783	6.33542698547691	0.116164057417265	0.733232703724792	1	chr17	+	78075354	78093679	GAA	18325	3775	4.78917628138543	7.01355443922034	5.0869958611829	7.04269491252613
NM_000154	-0.198773493195826	3.54826097233599	0.170138822511074	0.679988461198178	1	chr17	-	73754017	73761280	GALK1	7263	1361	2.8143116454807	4.1490609356182	2.59305807056916	3.97211769982398
NM_000155	-0.162803065776099	3.54268725966257	0.110393212233017	0.739696912656916	1	chr9	+	34646585	34650595	GALT	4010	1405	3.78032098894679	3.43765502769022	3.3869063333903	3.50430123652609
NM_000156	-0.41503195535732	3.08430718569322	0.64556825526669	0.421701614487313	1	chr19	-	1397024	1401569	GAMT	4545	1138	3.20136609143246	3.27187650003481	2.3595159558416	3.27438883476316
NM_000158	-0.642393787761344	4.51415800831565	1.38525783664808	0.239207572797695	1	chr3	-	81538849	81810950	GBE1	272101	3099	5.05090430875309	4.48063271794464	3.80166032973218	4.4422466178517
NM_000159	0.117962710621403	1.67251355260847	0.0538079027557621	0.816564961402675	1	chr19	+	13001942	13010813	GCDH	8871	1883	0.513528801372756	2.19923255602566	0.684221549731462	2.27145764378255
NM_000160	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	79762007	79771889	GCGR	9882	2053	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000161	-0.0375480295779886	1.58060594359248	0.00443165221530606	0.946923507176376	1	chr14	-	55308723	55369542	GCH1	60819	2925	0.775177712152863	2.17052556593356	1.37328438415713	1.53889816372372
NM_000162	-7.38597679401081	-1.42776720237988	24.8374155302267	6.23749230070995e-07	9.4500503352676e-05	chr7	-	44183869	44229022	GCK	45153	2733	-6.92635048729141	0.244171580164298	-6.9263504872914	-6.92635048729141
NM_000163	-0.145189057138207	0.0610311891295326	0.0554266175928902	0.81387610358071	1	chr5	+	42423876	42721980	GHR	298104	4563	-2.17710458239429	0.909245797642062	-1.97617888368404	0.597120702473419
NM_000164	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	46171501	46185717	GIPR	14216	2024	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000165	-0.00572168725643049	8.29861596566157	0.000146078925183701	0.990356753453067	1	chr6	+	121756722	121770890	GJA1	14168	3169	8.30451494097878	8.29596371644324	8.36944978516769	8.21959871706924
NM_000168	0.328396384722495	5.01959375078865	0.446667614579866	0.503921713914785	1	chr7	-	42000547	42276618	GLI3	276071	8214	4.67558501276647	4.99757808379104	5.28654024386159	5.0441834852461
NM_000169	-0.498068860934496	1.85492771155975	0.418350399961515	0.517761312334756	1	chrX	-	100652778	100663001	GLA	10223	1418	1.66275226241093	1.84683888253403	-0.34550365843384	2.72490909022208
NM_000170	-0.686477326042549	2.37952506192342	1.75822241553092	0.184846390211557	1	chr9	-	6532463	6645692	GLDC	113229	3809	3.09754344945356	1.83469211301227	2.76820013434219	0.772070444187521
NM_000171	1.6665552997375e-17	-3.92635065335074	0	1	1	chr5	-	151202073	151304397	GLRA1	102324	1797	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000173	1.14378166507728	-0.259095358836308	0.43867837339489	0.507761038932195	1	chr17	+	4835591	4838325	GP1BA	2734	2501	0.804783603658782	-6.92635048729141	-1.40685704656919	-0.0242333838492855
NM_000174	1.6665552997375e-17	-3.92635065335074	0	1	1	chr3	+	128779609	128781254	GP9	1645	894	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000178	0.0773097392715362	4.53317180766749	0.0258307248132326	0.872314410852661	1	chr20	-	33516235	33543601	GSS	27366	1900	4.48985739546633	4.48258027274542	4.40878536316615	4.7174645614123
NM_000179	0.0467230327540642	3.89725953373258	0.00895717301270338	0.924598916231915	1	chr2	+	48010220	48034092	MSH6	23872	4328	3.88104051332281	3.83219593907828	3.64503243170485	4.15921516162264
NM_000180	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	7905987	7923658	GUCY2D	17671	3623	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000182	0.106790524029433	7.17259409253042	0.0498352349627851	0.823350225511139	1	chr2	-	26413503	26467594	HADHA	54091	3037	7.21435948919907	6.98978779821174	7.48358124235322	6.93414413977475
NM_000183	0.125274138166336	4.72180566989379	0.0692976409757122	0.792362171680733	1	chr2	+	26467615	26513333	HADHB	45718	2188	4.67157324311331	4.63744682670553	4.75160848794276	4.80777393252539
NM_000184	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	-	5274420	5276011	HBG2	1591	583	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000185	-0.038650244044959	5.43924319966339	0.00656626578664543	0.935416107542974	1	chr22	+	21128382	21142008	SERPIND1	13626	2221	5.70116510214434	5.18146769248476	5.54649047219376	5.25884669667978
NM_000186	0.0726486754589203	6.05047522817768	0.0233660812383505	0.878508934223206	1	chr1	+	196621007	196716634	CFH	95627	4127	6.10304851389224	5.90601973524278	6.26655397499796	5.88781804687257
NM_000187	1.6665552997375e-17	-3.92635065335074	0	1	1	chr3	-	120347014	120401418	HGD	54404	2010	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000189	0.0615435304181455	4.78914929304563	0.0144668490361539	0.904262760621107	1	chr2	+	75059781	75120481	HK2	60700	7093	4.64522123889343	4.82104478976093	5.13826970298222	4.45146167262611
NM_000190	-2.59848741230266	1.86192834530305	3.80325062721569	0.0511531842699725	0.536103488491832	chr11	+	118955586	118964259	HMBS	8673	1509	1.37766425305896	2.5506586012095	-6.9263504872914	2.52293633492802
NM_000191	-1.1563837028851	1.3727302452722	4.63629150570214	0.0313025757596517	0.378307708829792	chr1	-	24128366	24151949	HMGCL	23583	1608	0.862232801507875	2.30866804530441	-0.590608122086162	1.39348149500738
NM_000192	1.6665552997375e-17	-3.92635065335074	0	1	1	chr12	-	114791734	114846247	TBX5	54513	3826	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000193	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	-	155595557	155604967	SHH	9410	1576	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000194	0.37437598752695	1.04633318479388	0.529560736193757	0.466791593649567	1	chrX	+	133594174	133634698	HPRT1	40524	1415	0.714078475271971	0.885890358010324	1.01202189184687	1.33094639135491
NM_000195	-0.0804269752126394	6.58393998811269	0.02885262155867	0.865119771747461	1	chr10	-	100175954	100206704	HPS1	30750	3715	6.48489633840076	6.74446434376552	6.36166868701544	6.70677425335816
NM_000196	-0.651159393878923	-3.10519958577131	0.265882836785441	0.60610706846929	1	chr16	+	67465035	67471454	HSD11B2	6419	1882	-2.73549210010083	-6.92635048729141	-4.3448530344316	-4.79256520840588
NM_000197	1.6665552997375e-17	-3.92635065335074	0	1	1	chr9	-	98997588	99064434	HSD17B3	66846	1134	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000199	-0.0474156595048075	7.48875390727911	0.0100573615738924	0.920116956071186	1	chr17	-	78183078	78194199	SGSH	11121	2768	7.42770043685582	7.59241208327723	7.40655499541128	7.518745578706
NM_000200	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	+	70894129	70902255	HTN3	8126	578	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000201	1.83715575930224	8.79762055822194	11.9553386449998	0.000544910227757894	0.0154715290753808	chr19	+	10381516	10397291	ICAM1	15775	3246	7.67768124444504	7.4593042133903	9.04540564278095	9.76586044491214
