RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL698_none_na_NA_none_hsap_1487_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL700_none_na_NA_none_hsap_2139_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL699_none_na_NA_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL701_none_na_NA_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam
NM_000034	-0.0821242275533285	8.56936497150247	1.9516368301022	0.162410575839908	0.682723266941417	chr16	+	30064410	30081741	ALDOA	17331	2390	8.68192499446127	8.53372530786398	8.53160334279534	8.52070747756906
NM_000035	2.36542309731081	-2.81278798336135	1.47274439151406	0.224913189255918	0.738137014571591	chr9	-	104182841	104198062	ALDOB	15221	2426	-5.9827175065999	-5.9827175065999	-3.6534311280113	-5.9827175065999
NM_000036	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr1	-	115215719	115238239	AMPD1	22520	2406	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000039	-2.24272816127509	-2.81280127764907	1.26349113506786	0.260991299415179	0.742500239920437	chr11	-	116706468	116708338	APOA1	1870	897	-5.9827175065999	-3.68668331519673	-5.9827175065999	-5.9827175065999
NM_000040	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr11	+	116700623	116703787	APOC3	3164	533	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000041	0.553332768500311	-0.149828378026284	1.79415187074723	0.180421116181087	0.717627075184334	chr19	+	45409038	45412650	APOE	3612	1180	-0.261650639124242	-1.15604629383943	0.216173534705819	-0.478972413649223
NM_000042	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr17	-	64208146	64225556	APOH	17410	1201	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000044	0.146256470699782	6.25131834509866	4.70321247415233	0.0301062943917302	0.302260807089387	chrX	+	66763873	66950461	AR	186588	10656	6.82467994809079	4.86826619361311	7.00464753779658	4.94576471172683
NM_000045	0.841224172783151	-1.98260491801498	0.748361730126445	0.386995412887347	0.894247642111483	chr6	+	131894343	131905472	ARG1	11129	1472	-2.9135845023991	-3.68668331519673	-3.6534311280113	-1.75397688043783
NM_000046	0.0523753060547068	5.96232320271671	0.651396608805479	0.419613797634973	0.924768328623677	chr5	-	78073036	78282357	ARSB	209321	6071	6.12408703477004	5.7080858438767	6.15993580605812	5.78023082804928
NM_000048	0.16718240691115	3.94490526739503	2.52314379805541	0.112186724526534	0.567572691119162	chr7	+	65540775	65558329	ASL	17554	1936	3.85915083895655	3.84441194082745	3.95867987233087	4.0811849557047
NM_000051	0.0532281639509667	6.57547859196469	0.507785229747043	0.476099188109819	0.976349326100255	chr11	+	108093558	108239826	ATM	146268	13147	6.25682677464137	6.80522481155034	6.42548363533598	6.74930120586594
NM_000053	0.119255864156831	3.70553446932284	1.12975650864703	0.287827281982703	0.778715572580409	chr13	-	52506805	52585630	ATP7B	78825	6641	3.47528995775967	3.78739494322522	3.61330237160093	3.88958643133469
NM_000054	2.36542309731081	-2.81278798336135	1.47274439151406	0.224913189255918	0.738137014571591	chrX	+	153170528	153172620	AVPR2	2092	1625	-5.9827175065999	-5.9827175065999	-3.6534311280113	-5.9827175065999
NM_000055	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr3	-	165490691	165555253	BCHE	64562	2447	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000056	0.132469324837877	3.22266650439325	1.04928555253462	0.30567168790515	0.80209856656116	chr6	+	80816343	81055987	BCKDHB	239644	1550	3.10570661160392	3.17719073500223	3.21875165038895	3.32909035455147
NM_000059	0.119339043142616	4.79945242367017	1.44402743948086	0.229488723493888	0.742500239920437	chr13	+	32889616	32973809	BRCA2	84193	11386	4.50430001083112	4.94847688539925	4.81844615181702	4.88196658659638
NM_000062	0.446191091159159	-1.89523464482276	0.23817876958223	0.625524608716915	1	chr11	+	57365026	57382326	SERPING1	17300	1966	-2.9135845023991	-2.84159240849982	-2.27379078478508	-2.67901087003059
NM_000064	-0.376982642062355	-2.28223668955288	0.10095134023376	0.750690961729643	1	chr19	-	6677845	6720662	C3	42817	5101	-3.75117937002964	-2.84159240849982	-5.9827175065999	-2.67901087003059
NM_000067	-2.28206569060891	-2.81282841897317	1.30220970073366	0.253809990531929	0.742500239920437	chr8	+	86376130	86393721	CA2	17591	1666	-3.75117937002964	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000069	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr1	-	201008639	201081694	CACNA1S	73055	6168	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000073	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr11	+	118215058	118224497	CD3G	9439	1311	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000074	-8.5718677548981e-17	-2.98271782599268	0	1	1	chrX	+	135730335	135742549	CD40LG	12214	1833	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000075	-0.0313961828048498	6.41209235110938	0.251035499057245	0.61634689273438	1	chr12	-	58141509	58146230	CDK4	4721	1485	6.49609138522435	6.35035032471209	6.41475920948856	6.37179380480117
NM_000078	0.525531094141723	-2.07580326483424	0.264269092976338	0.607202283937188	1	chr16	+	56995834	57017756	CETP	21922	1717	-2.9135845023991	-3.68668331519673	-2.80461894623971	-2.67901087003059
NM_000079	0.641894074530543	-2.28233470565098	0.294846696407051	0.587131262899187	1	chr2	-	175612322	175629200	CHRNA1	16878	1981	-2.9135845023991	-5.9827175065999	-2.27379078478508	-5.9827175065999
NM_000080	-0.502163830161775	-0.200834394578675	1.3705191127178	0.241722712991747	0.742500239920437	chr17	-	4801063	4806369	CHRNE	5306	1296	-3.75117937002964	0.805311110028726	-3.6534311280113	0.27340979832969
NM_000082	-0.15440020755753	3.36507994979458	1.53718428022527	0.215037406466712	0.738137014571591	chr5	-	60169658	60240905	ERCC8	71247	2044	3.49785950074847	3.33583126217779	3.27675787108743	3.25679869661728
NM_000083	3.79829662536445	-2.52314533353018	4.54305219244217	0.0330526070041814	0.317845827009214	chr7	+	143013218	143049097	CLCN1	35879	3093	-5.9827175065999	-5.9827175065999	-5.9827175065999	-2.14359041923137
NM_000085	1.88286357828849	-2.28225223032791	2.21553040794705	0.136628097571916	0.623366964357375	chr1	+	16370230	16383821	CLCNKB	13591	2626	-3.75117937002964	-5.9827175065999	-2.27379078478508	-3.53984130733953
NM_000087	1.08430296681155	-2.1751921239765	0.952373200783502	0.329115954276175	0.833135290887723	chr4	-	47937993	48014961	CNGA1	76968	2783	-5.9827175065999	-2.84159240849982	-5.9827175065999	-1.75397688043783
NM_000088	0.786077618023901	1.00479338982998	8.12111224239315	0.00437527078759787	0.0873292630282435	chr17	-	48261456	48279000	COL1A1	17544	5927	1.40388211634066	-3.68668331519673	2.20136847589824	-3.53984130733953
NM_000089	0.0319854851041229	5.6804983388193	0.1609459071765	0.688287132205067	1	chr7	+	94023872	94060544	COL1A2	36672	5411	6.53207366131546	2.8459992987391	6.55809808979831	2.91144956712784
NM_000090	-0.174973027639812	2.81064525063811	1.35394812179611	0.244589084982022	0.742500239920437	chr2	+	189839098	189877472	COL3A1	38374	5489	3.52741327797412	1.48486897545492	3.33252171306545	1.38516123981085
NM_000091	0.122091830984261	-2.6607933430231	0.00558722388914212	0.940415426831481	1	chr2	+	228029280	228179508	COL4A3	150228	8097	-5.9827175065999	-3.68668331519673	-3.6534311280113	-5.9827175065999
NM_000092	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr2	-	227867426	228029275	COL4A4	161849	10341	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000093	-0.0369451724675875	8.58807571291366	0.632810331336835	0.426326335980202	0.930269331076366	chr9	+	137533650	137736688	COL5A1	203038	8345	8.66415776906535	8.54523574440894	8.60702713799424	8.52895268824751
NM_000094	0.381547635838335	-1.73485473918835	0.20868204393952	0.647802371292263	1	chr3	-	48601505	48632593	COL7A1	31088	9133	-1.69866829704211	-5.9827175065999	-1.88660174790031	-2.67901087003059
NM_000095	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr19	-	18893582	18902114	COMP	8532	2452	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000096	-2.24272816127509	-2.81280127764907	1.26349113506786	0.260991299415179	0.742500239920437	chr3	-	148890289	148939832	CP	49543	3646	-5.9827175065999	-3.68668331519673	-5.9827175065999	-5.9827175065999
NM_000097	-0.0501743935594959	4.88754580663363	0.375398361089157	0.540076303243486	1	chr3	-	98298289	98312455	CPOX	14166	2709	4.83196076658538	4.97991838082085	4.76540581906005	4.94576471172683
NM_000098	0.0389364844421937	4.05306293130292	0.143315937384314	0.705006524060484	1	chr1	+	53662100	53679869	CPT2	17769	2996	4.00283742754894	4.04691866722385	3.94681789834886	4.17943406106624
NM_000100	-0.0229409676768617	6.28965252551423	0.123675796157208	0.725081488382285	1	chr21	-	45193545	45196256	CSTB	2711	940	6.28088554465453	6.31604508327976	6.19545795011319	6.3558145750558
NM_000101	0.081924197758466	2.99269940554379	0.315634979724383	0.574242746963114	1	chr16	-	88709696	88717492	CYBA	7796	723	0.0136226681720154	3.88120866900273	0.293142037467928	3.94321807207597
NM_000102	-2.24272816127509	-2.81280127764907	1.26349113506786	0.260991299415179	0.742500239920437	chr10	-	104590287	104597290	CYP17A1	7003	1870	-5.9827175065999	-3.68668331519673	-5.9827175065999	-5.9827175065999
NM_000104	-2.28206569060891	-2.81282841897317	1.30220970073366	0.253809990531929	0.742500239920437	chr2	-	38294745	38303323	CYP1B1	8578	5153	-3.75117937002964	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000106	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr22	-	42522500	42526883	CYP2D6	4383	1	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000107	0.0665503919799695	5.06356348769655	0.659804798628272	0.4166288651534	0.921169001256782	chr11	+	47236492	47260769	DDB2	24277	1848	4.80807802803141	5.21907413649741	4.77884983366673	5.36717233656222
NM_000109	0.119701158407608	4.193089542121	1.42655846075018	0.232326921670241	0.742500239920437	chrX	-	31137344	33357726	DMD	2220382	14069	4.06964781069458	4.18085710652054	4.0667555182825	4.41594378397319
NM_000110	0.10290228158356	5.78660162222797	2.35891790637092	0.124568570271897	0.597884908038461	chr1	-	97543299	98386615	DPYD	843316	4338	5.79709346901763	5.66301180848325	5.88172985298761	5.78574624858633
NM_000111	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr7	-	107405911	107443678	SLC26A3	37767	2894	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000112	-0.0218497784358699	7.37809784969684	0.114924260930749	0.734606106951339	1	chr5	+	149340299	149366963	SLC26A2	26664	8075	7.08718475493593	7.64940275951941	7.14881617317773	7.54807116447603
NM_000113	-0.118043605840032	6.29322272848965	3.72516772249456	0.0535982446714094	0.411332838769839	chr9	-	132575220	132586441	TOR1A	11221	2106	6.32573079873566	6.36990146117919	6.18413522066533	6.27576608166944
NM_000115	0.255481559133832	2.02795311943329	1.81294714521397	0.178155096130038	0.713250144704478	chr13	-	78469615	78549664	EDNRB	80049	4282	2.09854287855824	1.54725784113751	2.48997291502372	1.56698513900346
NM_000117	-0.0751627877671144	5.38017565823454	1.05649046453122	0.304016995601153	0.801214544179337	chrX	+	153607596	153609883	EMD	2287	1339	5.44500200023185	5.37770808002776	5.34896245866068	5.32486338321397
NM_000118	-0.0702864061267278	10.0970696007931	2.5644268053212	0.109292164557047	0.563584254561884	chr9	-	130577290	130617052	ENG	39762	3201	9.95044332510904	10.2906368224223	9.85731136605756	10.2429464392078
NM_000119	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr15	-	43489425	43513323	EPB42	23898	2540	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000121	0.143712175085456	2.46490753708124	0.768750495218971	0.38060387438343	0.887934951023967	chr19	-	11487880	11495018	EPOR	7138	2441	2.3508043619892	2.38154397075428	2.44007555732081	2.58015811833676
NM_000122	0.163305491822088	4.9122783713101	3.63015475232661	0.0567415402070636	0.425745307673748	chr2	-	128014865	128051752	ERCC3	36887	2750	4.83196076658538	4.81854056494131	4.88833191535236	5.08945830906035
NM_000123	-0.110304741524097	2.22636688841532	0.386024122194286	0.534396730917519	1	chr13	+	103498190	103528351	ERCC5	30161	514	2.3003380063868	2.17971066257525	2.16086821096102	2.10300471475617
NM_000124	0.0613312270283938	6.4509737427939	0.974903523792548	0.323460291403234	0.825408393450289	chr10	-	50662525	50747169	ERCC6	84644	7420	5.93717696325372	6.79401161599068	6.04918686986276	6.81370867415007
NM_000126	-0.114457999979342	5.841760131809	2.31197087106086	0.12838117832688	0.607403449959052	chr15	-	76508628	76603810	ETFA	95182	1354	5.91638390711462	5.86940265040442	5.70110535771537	5.85733869162302
NM_000127	-0.00803491363167382	8.39281330680628	0.031022592984904	0.860189992732361	1	chr8	-	118811601	119124058	EXT1	312457	3363	8.37436335934381	8.41823315693568	8.37194861080247	8.40452322630848
NM_000128	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr4	+	187187117	187210835	F11	23718	2728	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000129	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr6	-	6144310	6320924	F13A1	176614	3863	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000130	-0.428275522460845	-0.93847960284839	0.555227428693508	0.456189601168636	0.958687778463089	chr1	-	169481191	169555769	F5	74578	9179	-1.44802928505576	-0.804818361036621	-0.929409068619068	-2.67901087003059
NM_000132	0.218581132560013	2.38274491720093	1.66907931873547	0.196381897508116	0.738137014571591	chrX	-	154064063	154250998	F8	186935	9035	2.64849165948222	1.63605674584101	2.7577719702537	2.05509042987053
NM_000133	-8.5718677548981e-17	-2.98271782599268	0	1	1	chrX	+	138612894	138645617	F9	32723	2802	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000134	3.26349772725429	-2.66069578872689	3.03013272373436	0.0817313305957985	0.50492608009481	chr4	-	120238404	120243316	FABP2	4912	2249	-5.9827175065999	-5.9827175065999	-5.9827175065999	-2.67901087003059
NM_000135	0.151718484703754	3.03301644610119	1.21968752086875	0.269421984884672	0.75276449258744	chr16	-	89803958	89883065	FANCA	79107	4047	2.64849165948222	3.19678545851601	2.8875416998306	3.27782572146253
NM_000136	0.0330074146028373	3.71216747407166	0.0861673982466673	0.769107260170468	1	chr9	-	97861335	98079991	FANCC	218656	4592	3.70603066081599	3.65907426376177	3.80946230732922	3.61175801747795
NM_000137	-0.45752039829174	2.17644361924357	6.27146247322321	0.0122697829658558	0.175780198810614	chr15	+	80445232	80478924	FAH	33692	1797	2.38349379165893	2.29328436146218	1.67748060334872	2.07924647723845
NM_000138	0.16199309400827	8.6814321180253	8.02675821125109	0.00460912610027884	0.0902044585809483	chr15	-	48700502	48937985	FBN1	237483	11695	8.42062541611293	8.76276608217813	8.64675124560916	8.86135409130186
NM_000139	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr11	+	59856136	59865940	MS4A2	9804	3648	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000140	-0.0515721615465383	5.36303315391637	0.494281792060732	0.48202348692158	0.981605292532781	chr18	-	55212072	55253969	FECH	41897	7260	5.27029504463518	5.49314308809669	5.19952298836016	5.45978724344988
NM_000143	-0.158264755881516	6.02998000499173	5.99832428196179	0.014319472966185	0.191516626067174	chr1	-	241660856	241683085	FH	22229	1867	6.20060801349588	5.99502819682388	6.01266982757495	5.8695100987076
NM_000145	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr2	-	49189295	49381666	FSHR	192371	2774	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000146	0.0447575045192989	9.68170738979864	0.826516741691812	0.363281687168676	0.866864951414349	chr19	+	49468565	49470136	FTL	1571	871	9.8736016888616	9.41231912315998	9.87785739555177	9.49859546270355
NM_000147	0.0372948358736333	3.61928730670533	0.103495078992337	0.747675045077722	1	chr1	-	24171571	24194859	FUCA1	23288	2117	3.85332812487053	3.24463862264917	3.81599779038712	3.38829612274341
NM_000148	0.077492125276774	2.43485357668747	0.217213316337514	0.64117148432052	1	chr19	-	49251267	49258647	FUT1	7380	4246	2.36724166187522	2.36431872597594	2.64483668597959	2.19430835756766
NM_000150	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr19	-	5830636	5839742	FUT6	9106	3137	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000151	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr17	+	41052813	41066450	G6PC	13637	4161	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000152	0.122169444319392	5.64563559656215	2.96835901374765	0.0849079434068323	0.507677252452327	chr17	+	78075354	78093679	GAA	18325	3775	4.78685130911767	6.10541110340972	4.88211672006371	6.24406376513583
NM_000154	-0.02774861116494	3.67666780111422	0.058569287404012	0.80877169856394	1	chr17	-	73754017	73761280	GALK1	7263	1361	3.57771890858322	3.77441255517193	3.41232320321925	3.86894916161364
NM_000155	0.123888831342147	2.9710247428046	0.78502938233304	0.375607375825209	0.882293034541934	chr9	+	34646585	34650595	GALT	4010	1405	3.04569839120455	2.7025961893636	3.17874323778746	2.81405101163544
NM_000156	-0.150710997552821	2.72775361511389	0.991358307990987	0.319410618623	0.819084818081339	chr19	-	1397024	1401569	GAMT	4545	1138	2.8014754827519	2.74314082144204	2.55392667333504	2.69403883892638
NM_000158	-0.0490154349659678	7.0234753411686	0.77952702684663	0.377285830819001	0.884318288535908	chr3	-	81538849	81810950	GBE1	272101	3099	7.25557431374101	6.79882794699801	7.17828285127343	6.7818643348734
NM_000159	-0.231785226775175	3.10149505406315	2.90235156880998	0.0884504311075189	0.515577874386278	chr19	+	13001942	13010813	GCDH	8871	1883	3.03544978995114	3.33583126217779	2.98355810414106	2.92484200632772
NM_000160	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr17	+	79762007	79771889	GCGR	9882	2053	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000161	0.212680896726426	4.60842379033287	5.88164244183601	0.0152995433973788	0.198453638653458	chr14	-	55308723	55369542	GCH1	60819	2925	4.45516880176104	4.53657195831185	4.65309035566686	4.76397679891701
NM_000162	-0.744372399993894	-2.52335251224457	0.259452205587356	0.610496746832332	1	chr7	-	44183869	44229022	GCK	45153	2733	-2.9135845023991	-5.9827175065999	-3.6534311280113	-5.9827175065999
NM_000163	-0.085632618853912	1.98307258859632	0.198050968215048	0.656298669081016	1	chr5	+	42423876	42721980	GHR	298104	4563	1.84050318729725	2.11938490976687	1.89062131774552	1.90098918335963
NM_000164	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr19	+	46171501	46185717	GIPR	14216	2024	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000165	0.00365950675763388	10.3391277562122	0.00556208032276118	0.940549399996093	1	chr6	+	121756722	121770890	GJA1	14168	3169	10.2014635262837	10.4643856561046	10.247476117284	10.4258241668006
NM_000168	0.164350414972737	4.24890703211294	2.90830203566728	0.0881246092319271	0.514740194356241	chr7	-	42000547	42276618	GLI3	276071	8214	4.12868802899314	4.19066286843019	4.27558042258381	4.37262001955037
NM_000169	-0.0430431177138832	4.02180052668267	0.168480279103601	0.681465978378297	1	chrX	-	100652778	100663001	GLA	10223	1418	4.04431632594738	4.01967207720613	3.87352189620523	4.1049115527745
NM_000170	0.108610312414015	2.90234472935305	0.567618193852549	0.451206937995619	0.953129958875665	chr9	-	6532463	6645692	GLDC	113229	3809	3.11546972521457	2.4484591505105	3.05159647413558	2.79958420943394
NM_000171	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr5	-	151202073	151304397	GLRA1	102324	1797	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000173	0.310345311705906	-0.590439609865395	0.399994936744084	0.527091871752844	1	chr17	+	4835591	4838325	GP1BA	2734	2501	-0.883965416834978	-1.15604629383943	-0.359002664724784	-1.19489442451032
NM_000174	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr3	+	128779609	128781254	GP9	1645	894	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000178	-0.00255696316890159	4.57393498510487	0.000830959393670838	0.977003072353534	1	chr20	-	33516235	33543601	GSS	27366	1900	4.45516880176104	4.67921952614331	4.48282239242149	4.64763786372219
NM_000179	-0.0211544798240512	6.48786787858194	0.124649623545206	0.724045307017423	1	chr2	+	48010220	48034092	MSH6	23872	4294	6.51742010273432	6.47394286149524	6.52855882334971	6.41869625747185
NM_000180	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr17	+	7905987	7923658	GUCY2D	17671	3623	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000182	0.0144207992441525	7.64407505418473	0.0802141359496247	0.777007429948558	1	chr2	-	26413503	26467594	HADHA	54091	3037	7.64411968006892	7.6279114039841	7.63391967442654	7.66740334627431
NM_000183	0.00337187392191742	6.62233108999325	0.00330882549828004	0.954129069976867	1	chr2	+	26467615	26513333	HADHB	45718	2188	6.61011115683354	6.62802673592951	6.64508796217871	6.59868016849454
NM_000184	2.40475820245707	-2.81274584010708	1.51578256527483	0.218258834148343	0.738137014571591	chr11	-	5274420	5276011	HBG2	1591	583	-5.9827175065999	-5.9827175065999	-5.9827175065999	-3.53984130733953
NM_000185	0.0656363435587577	3.7117223494959	0.340020584806219	0.559817340218789	1	chr22	+	21128382	21142008	SERPIND1	13626	2221	3.76304393951078	3.55663759407099	3.89836995765659	3.53523852300247
NM_000186	0.0475326430465133	8.51881154684286	1.10264875458291	0.293685547421368	0.788145063095488	chr1	+	196621007	196716634	CFH	95627	4127	8.63305979058582	8.33916166948544	8.687417108313	8.379512040756
NM_000187	1.00212807931433	-2.52320074235586	0.477068718377633	0.489753075410589	0.984674900456718	chr3	-	120347014	120401418	HGD	54404	2010	-5.9827175065999	-3.68668331519673	-5.9827175065999	-2.67901087003059
NM_000189	0.0292006078520119	5.32830856420371	0.156653568653269	0.692256371350365	1	chr2	+	75059781	75120481	HK2	60700	7093	5.34688575042023	5.27083508422736	5.36241951948322	5.31472538820285
NM_000190	-0.0289370595866931	2.49317872564906	0.0297742177977796	0.863003527110518	1	chr11	+	118955586	118964259	HMBS	8673	1509	2.66187848509051	2.2564110385327	2.18126045745544	2.69403883892638
NM_000191	0.0413324433768547	4.06503391286866	0.134549028568443	0.713761304648151	1	chr1	-	24128366	24151949	HMGCL	23583	1608	3.99227864947171	4.07366020458674	3.78967632160278	4.33800064430759
NM_000192	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr12	-	114791734	114846247	TBX5	54513	3735	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000193	-1.04140460097667	-1.81302677460407	1.31455166530248	0.251572202256835	0.742500239920437	chr7	-	155595557	155604967	SHH	9410	1576	-1.23455637691012	-5.9827175065999	-2.27379078478508	-5.9827175065999
NM_000194	-0.116268140317425	5.81121743255151	3.03618630190834	0.0814270090471187	0.50492608009481	chrX	+	133594174	133634698	HPRT1	40524	1415	5.91917369071191	5.80383245932174	5.81966877614808	5.66923272492382
NM_000195	0.0251158821976076	4.94931701753001	0.096977022669998	0.755487934147117	1	chr10	-	100175954	100206704	HPS1	30750	3715	4.86994626304027	4.99398654734134	4.8758746335431	5.0380064313637
NM_000196	-2.28206569060891	-2.81282841897317	1.30220970073366	0.253809990531929	0.742500239920437	chr16	+	67465035	67471454	HSD11B2	6419	1882	-3.75117937002964	-5.9827175065999	-5.9827175065999	-5.9827175065999
