RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL698_none_na_NA_none_hsap_1487_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL700_none_na_NA_none_hsap_2139_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL699_none_na_NA_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL701_none_na_NA_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam
NM_000036	1.13597931794221e-16	0.847704660240231	0	1	1	chr1	-	115215719	115238239	AMPD1	22520	20114	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000039	-2.30059749864683	1.01764188899841	1.34667610681054	0.245860045870612	0.713608227002027	chr11	-	116706468	116708338	APOA1	1870	973	-2.15229079618372	0.183051075411077	-2.15229079618372	-2.15229079618372
NM_000040	1.13597931794221e-16	0.847704660240231	0	1	1	chr11	+	116700623	116703787	APOC3	3164	2606	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000041	-3.67186504879016	1.3070502820869	4.02631007641871	0.0447958159006802	0.384572270833567	chr19	+	45409038	45412650	APOE	3612	1771	0.951348328528181	0.183051075411077	-2.15229079618372	-2.15229079618372
NM_000042	1.13597931794221e-16	0.847704660240231	0	1	1	chr17	-	64208146	64225556	APOH	17410	16205	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000044	0.492159543931974	5.06504991312707	3.66706434421456	0.0554978533431094	0.429110187584191	chrX	+	66763873	66950461	AR	186588	173771	5.39536070507608	3.35594005467096	5.90854726344682	3.75196839838619
NM_000045	-0.499361270693108	2.01759545553495	0.321738019555807	0.570565026242792	1	chr6	+	131894343	131905472	ARG1	11129	626	1.86489050793469	1.03253073205118	0.161112339983076	1.61530338572966
NM_000046	-0.0274491304218209	6.50609994382707	0.0281699700172613	0.866709846144398	1	chr5	-	78073036	78282357	ARSB	209321	202604	6.53131976549855	6.45312841338553	6.33292978754514	6.59610516930602
NM_000048	0.331827450365668	6.13323281030456	3.06740313783417	0.0798769751230571	0.520915960628136	chr7	+	65540775	65558329	ASL	17554	13212	6.13509635655116	5.67816421269746	6.21645562075808	6.29948698227758
NM_000051	0.157903848619695	6.12492362068063	0.742622074047702	0.388822226817106	0.877839750648998	chr11	+	108093558	108239826	ATM	146268	121557	5.73322946321198	6.26101239864656	6.10854277807345	6.22843691020699
NM_000053	0.166036282773629	4.32363689821921	0.257637945966791	0.611747581224146	1	chr13	-	52506805	52585630	ATP7B	78825	67774	3.88255580827882	4.34000335684621	4.37631901011856	4.18618786019853
NM_000054	1.13597931794221e-16	0.847704660240231	0	1	1	chrX	+	153170528	153172620	AVPR2	2092	361	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000055	1.13597931794221e-16	0.847704660240231	0	1	1	chr3	-	165490691	165555253	BCHE	64562	62115	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000056	-0.0264371752955954	4.99757012150037	0.0104103084981535	0.918732133072486	1	chr6	+	80816343	81055987	BCKDHB	239644	235631	4.99260289381977	4.87555519998951	4.7075013115642	5.0997419163853
NM_000059	-0.162204136002427	5.08607318161868	0.403321412775306	0.525378907007229	1	chr13	+	32889616	32973809	BRCA2	84193	72799	5.20799115411175	4.96236756554981	4.65731879255124	5.17724621367371
NM_000062	3.19955197752787	1.16962124705319	2.85695887338005	0.0909793550786262	0.539088554680419	chr11	+	57365026	57382326	SERPING1	17300	14834	-2.15229079618372	-2.15229079618372	1.00815891186887	-2.15229079618372
NM_000064	-0.793590560980468	1.30703232244865	0.295683162305002	0.586601432903811	1	chr19	-	6677845	6720662	C3	42817	35219	0.951348328528181	-2.15229079618372	0.161112339983076	-2.15229079618372
NM_000067	1.13597931794221e-16	0.847704660240231	0	1	1	chr8	+	86376130	86393721	CA2	17591	13670	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000069	1.13597931794221e-16	0.847704660240231	0	1	1	chr1	-	201008639	201081694	CACNA1S	73055	66887	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000073	1.13597931794221e-16	0.847704660240231	0	1	1	chr11	+	118215058	118224497	CD3G	9439	6575	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000074	1.13597931794221e-16	0.847704660240231	0	1	1	chrX	+	135730335	135742549	CD40LG	12214	10381	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000075	0.12617715309145	5.92503149162827	0.431117028105398	0.511441348033425	0.994891609499748	chr12	-	58141509	58146230	CDK4	4721	1083	5.66198638588143	5.97813908069707	5.97150952192508	5.92567026662832
NM_000078	-2.26827651700568	1.75441798689049	3.73644124128492	0.0532377196417299	0.419417835142942	chr16	+	56995834	57017756	CETP	21922	20186	1.86489050793469	1.03253073205118	0.161112339983076	-2.15229079618372
NM_000079	1.13597931794221e-16	0.847704660240231	0	1	1	chr2	-	175612322	175629200	CHRNA1	16878	13340	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000080	2.34852369265661	1.01762390466753	1.4298559535861	0.231787948369188	0.713608227002027	chr17	-	4801063	4806369	CHRNE	5306	208	-2.15229079618372	-2.15229079618372	0.161112339983076	-2.15229079618372
NM_000082	-0.136333369453026	6.47034115586184	0.381467983824972	0.536818641528384	1	chr5	-	60169658	60240905	ERCC8	71247	66333	6.1525281476895	6.82152556595076	6.45545784872533	6.26439928768753
NM_000083	-3.14630871923602	1.169657192291	2.69081903886321	0.100927923259623	0.549534054535901	chr7	+	143013218	143049097	CLCN1	35879	32630	-2.15229079618372	1.03253073205118	-2.15229079618372	-2.15229079618372
NM_000085	2.34300422775739	1.01767751182839	1.42401811052013	0.23274317239051	0.713608227002027	chr1	+	16370230	16383821	CLCNKB	13591	10605	-2.15229079618372	-2.15229079618372	-2.15229079618372	0.228016396653699
NM_000087	-0.356273635724595	3.27427306418576	0.528863831192916	0.467084920443508	0.953657602110018	chr4	-	47937993	48014961	CNGA1	76968	22051	2.81963766158303	3.47882701576457	1.53830794848055	3.53358520343995
NM_000088	0.751802746599793	1.84752917041236	0.591984191667817	0.441652868203105	0.92890681364505	chr17	-	48261456	48279000	COL1A1	17544	10857	1.47925175072263	-2.15229079618372	2.22987213925378	-2.15229079618372
NM_000089	-0.372937114140971	6.27505068127223	2.48909228683368	0.114637824436131	0.582083878716412	chr7	+	94023872	94060544	COL1A2	36672	26770	7.18454298499409	3.97274014568887	7.0586501612291	1.08235641678151
NM_000090	-0.193464771595442	3.54716110949945	0.192673930980106	0.660700383865763	1	chr2	+	189839098	189877472	COL3A1	38374	26427	4.24951495369546	1.03253073205118	3.94572468421716	1.61530338572966
NM_000091	1.13597931794221e-16	0.847704660240231	0	1	1	chr2	+	228029280	228179508	COL4A3	150228	56238	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000092	-2.30059749864683	1.01764188899841	1.34667610681054	0.245860045870612	0.713608227002027	chr2	-	227867426	228029275	COL4A4	161849	151433	-2.15229079618372	0.183051075411077	-2.15229079618372	-2.15229079618372
NM_000093	-0.0531762366457679	9.11398129790217	0.289306437080125	0.590665324817716	1	chr9	+	137533650	137736688	COL5A1	203038	169193	9.12885020671314	9.14115633624761	9.17745572982329	8.98165934335682
NM_000094	0.900561082058243	1.30712921119265	0.383488336701875	0.535742224915487	1	chr3	-	48601505	48632593	COL7A1	31088	21152	0.110118750191404	-2.15229079618372	0.161112339983076	0.228016396653699
NM_000095	1.13597931794221e-16	0.847704660240231	0	1	1	chr19	-	18893582	18902114	COMP	8532	5821	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000096	-2.29510343640415	1.01758049170621	1.3410761057697	0.246844283936021	0.713608227002027	chr3	-	148890289	148939832	CP	49543	42098	0.110118750191404	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000097	-0.705836879786463	5.05705914526993	6.93187658581509	0.00846727997433633	0.162631499211286	chr3	-	98298289	98312455	CPOX	14166	8840	5.27318920780971	5.29898900370913	3.94572468421716	5.05937031926983
NM_000098	-0.0272615100574028	4.05718702268129	0.00573039789941365	0.939658259982451	1	chr1	+	53662100	53679869	CPT2	17769	14669	4.0407023923224	3.79492137248052	3.67012289555177	4.10917545215697
NM_000100	-0.172449236132302	5.62249062579587	0.648340267393945	0.420706702963155	0.912215535055048	chr21	-	45193545	45196256	CSTB	2711	1771	5.48064565091698	5.82439208685045	5.57180498210149	5.38752669827039
NM_000101	-0.278506278953439	3.75566206194132	0.465713123920403	0.494965971040178	0.979776115496696	chr16	-	88709696	88717492	CYBA	7796	1969	1.86489050793469	4.52250363982977	1.00815891186887	4.32887886598774
NM_000102	0.0479743268748182	1.16963921956161	0.000863468425653657	0.976557668888282	1	chr10	-	104590287	104597290	CYP17A1	7003	3226	-2.15229079618372	0.183051075411077	0.161112339983076	-2.15229079618372
NM_000104	1.13597931794221e-16	0.847704660240231	0	1	1	chr2	-	38294745	38303323	CYP1B1	8578	3424	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000107	0.276060287690615	7.11967301475844	3.80730062653122	0.0510296273763455	0.412414168977904	chr11	+	47236492	47260769	DDB2	24277	18675	6.7982061726975	7.10522083737694	6.90584332116184	7.5220009351492
NM_000109	-0.232413187166758	6.34960897611002	1.94008803689379	0.163658975514609	0.693434895999126	chrX	-	31137344	33357726	DMD	2220382	2189242	5.88693854134838	6.84456363278038	5.74997885993014	6.55313809936065
NM_000110	-0.0540489490577913	8.07562800856022	0.199757018721989	0.654917045015641	1	chr1	-	97543299	98386615	DPYD	843316	610131	8.11394122886396	8.07023617804216	7.92053430346218	8.15507995092272
NM_000111	-2.30059749864683	1.01764188899841	1.34667610681054	0.245860045870612	0.713608227002027	chr7	-	107405911	107443678	SLC26A3	37767	32143	-2.15229079618372	0.183051075411077	-2.15229079618372	-2.15229079618372
NM_000112	-0.18717687988879	4.52040957833582	0.376034222593213	0.539733332654391	1	chr5	+	149340299	149366963	SLC26A2	26664	18587	4.37362327170938	4.63248858309707	3.94572468421716	4.63389221964816
NM_000113	-0.156404942971568	6.104207666735	0.72803283299954	0.393521567948423	0.882779862042811	chr9	-	132575220	132586441	TOR1A	11221	7910	6.18677230245379	6.09802138457257	6.19902141820908	5.73378771202149
NM_000115	-0.517072957416062	3.09510243142308	0.951685309744947	0.329290686924016	0.814815000396808	chr13	-	78469615	78549664	EDNRB	80049	65096	3.50228735700999	2.25598132835635	3.19485815558894	1.08235641678151
NM_000117	-0.0648091543664355	5.8750825092678	0.113970679031406	0.735668081313463	1	chrX	+	153607596	153609883	EMD	2287	948	5.96793809967799	5.75313001762398	5.88693405093308	5.70790338240706
NM_000118	-0.344000031949294	9.29061309362373	7.91066547590105	0.00491441879313077	0.112273521629806	chr9	-	130577290	130617052	ENG	39762	34345	9.44757642472937	9.44235241781	8.94622765989093	9.25400827745044
NM_000119	1.13597931794221e-16	0.847704660240231	0	1	1	chr15	-	43489425	43513323	EPB42	23898	21198	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000121	0.9663518644027	3.0575010132198	3.15474972509296	0.0757062995824443	0.510443073422687	chr19	-	11487880	11495018	EPOR	7138	3483	2.16888743487001	2.25598132835635	2.69539514878575	3.53358520343995
NM_000122	0.0778086432425442	5.29897625564232	0.110295646985368	0.739807796694923	1	chr2	-	128014865	128051752	ERCC3	36887	25681	5.30471561413926	5.08351379230445	5.16802846968315	5.38752669827039
NM_000124	-0.248128387376508	8.04585680231054	5.47541377517553	0.0192857945710375	0.255775388643225	chr10	-	50662525	50747169	ERCC6	84644	47162	7.72864649023571	8.49834995817293	7.58020899476914	8.17411077491632
NM_000126	0.0755644556249862	7.9470435444371	0.573888643260578	0.448717797659972	0.934669260852773	chr15	-	76508628	76603810	ETFA	95182	92618	7.84042518021554	7.95851947915697	7.87734499694724	8.0712755438609
NM_000127	0.102523482491692	8.18606281935465	0.498778057610501	0.480037525653412	0.967582801528958	chr8	-	118811601	119124058	EXT1	312457	291912	8.20447246908106	8.04061578528857	8.10032302063542	8.35176761392938
NM_000128	2.34852369265661	1.01762390466753	1.4298559535861	0.231787948369188	0.713608227002027	chr4	+	187187117	187210835	F11	23718	17229	-2.15229079618372	-2.15229079618372	0.161112339983076	-2.15229079618372
NM_000129	1.13597931794221e-16	0.847704660240231	0	1	1	chr6	-	6144310	6320924	F13A1	176614	172727	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000130	3.73123667276814	1.30711902569078	4.28131998362896	0.0385334125638722	0.365988542973238	chr1	-	169481191	169555769	F5	74578	65399	-2.15229079618372	-2.15229079618372	1.53830794848055	-2.15229079618372
NM_000132	-0.0270021443679506	4.50511696887358	0.0077205072781199	0.929982848497424	1	chrX	-	154064063	154250998	F8	186935	170989	4.87151156511887	3.69705488974916	4.65731879255124	4.02781907522842
NM_000133	1.13597931794221e-16	0.847704660240231	0	1	1	chrX	+	138612894	138645617	F9	32723	29916	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000134	1.13597931794221e-16	0.847704660240231	0	1	1	chr4	-	120238404	120243316	FABP2	4912	2663	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000135	0.322561690390789	5.88123247339741	2.07007012096164	0.150214614631736	0.670659466812871	chr16	-	89803958	89883065	FANCA	79107	70347	5.94811055322246	5.33196850140599	5.86499211705343	6.11483643327564
NM_000136	0.160513780623141	5.35590758267301	0.414438770943931	0.519725115032177	1	chr9	-	97861335	98079991	FANCC	218656	206052	4.87151156511887	5.51542587583339	5.54445545567696	5.17724621367371
NM_000137	-0.774761656562966	3.84705507983481	3.77685116353018	0.0519663686519799	0.415554275605098	chr15	+	80445232	80478924	FAH	33692	28209	4.43189058791762	3.35594005467096	3.19485815558894	3.27614506233883
NM_000138	0.00285419785024255	7.7452027011368	0.000638803759718698	0.979835959685361	1	chr15	-	48700502	48937985	FBN1	237483	219960	7.58838777144719	7.87146811285727	7.68411407885554	7.78597865715984
NM_000139	1.13597931794221e-16	0.847704660240231	0	1	1	chr11	+	59856136	59865940	MS4A2	9804	5751	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000140	-0.303858658825517	5.00749942031597	1.22819680639764	0.267758003094226	0.748808740473716	chr18	-	55212072	55253969	FECH	41897	34523	4.73931753466836	5.36421091751006	5.01702801717254	4.45871844666527
NM_000143	-0.00977792502600744	6.96816862375988	0.00505704085124403	0.943307922126824	1	chr1	-	241660856	241683085	FH	22229	20361	7.04217036737548	6.85594616033681	7.1061891379544	6.75621667907507
NM_000145	1.13597931794221e-16	0.847704660240231	0	1	1	chr2	-	49189295	49381666	FSHR	192371	189161	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000146	0.0203806696867535	8.38929976466913	0.0460663200374114	0.830055288056058	1	chr19	+	49468565	49470136	FTL	1571	159	8.50173536425234	8.22748401485429	8.45268156997075	8.32647410814962
NM_000147	0.374202467379508	3.30710898055933	0.603159583413382	0.437375034884154	0.92890681364505	chr1	-	24171571	24194859	FUCA1	23288	20931	2.63354483141591	3.07346029647512	3.67012289555177	2.56134209221198
NM_000148	-3.14630871923602	1.169657192291	2.69081903886321	0.100927923259623	0.549534054535901	chr19	-	49251267	49258647	FUT1	7380	2309	-2.15229079618372	1.03253073205118	-2.15229079618372	-2.15229079618372
NM_000150	1.13597931794221e-16	0.847704660240231	0	1	1	chr19	-	5830636	5839742	FUT6	9106	4256	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000151	1.13597931794221e-16	0.847704660240231	0	1	1	chr17	+	41052813	41066450	G6PC	13637	9476	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000152	-0.281796497167142	5.66886554981162	1.8221942400712	0.17705231220862	0.713608227002027	chr17	+	78075354	78093679	GAA	18325	13708	5.27318920780971	6.13586616797597	5.20343219420266	5.70790338240706
NM_000154	-0.609407442461383	2.93518175909441	1.1501512193369	0.283517496358187	0.769612112012755	chr17	-	73754017	73761280	GALK1	7263	5508	2.98444581684222	2.72186373658857	1.00815891186887	2.9625679000368
NM_000155	0.050038811019401	3.4321194666746	0.0118780552200617	0.913213205127217	1	chr9	+	34646585	34650595	GALT	4010	700	3.50228735700999	2.72186373658857	4.02701628722502	1.08235641678151
NM_000156	-0.489126073945617	3.16929784948962	0.903743462286901	0.341779930539857	0.830906160672845	chr19	-	1397024	1401569	GAMT	4545	2298	2.98444581684222	3.22160285354168	3.45197337955638	0.228016396653699
NM_000158	-0.0329450255675046	9.54148265096966	0.358184674674837	0.549516153232777	1	chr3	-	81538849	81810950	GBE1	272101	267249	9.7025672417421	9.38654243497303	9.68136148325314	9.33867513457238
NM_000159	-0.727744241931045	4.15145585366176	4.22105790579771	0.0399252608484309	0.371381916751547	chr19	+	13001942	13010813	GCDH	8871	5649	4.18321302224445	4.46419820006904	3.19485815558894	3.94159922790241
NM_000160	1.13597931794221e-16	0.847704660240231	0	1	1	chr17	+	79762007	79771889	GCGR	9882	7162	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000161	1.4540523740701	4.96763827235111	28.041288705922	1.18754478075226e-07	1.04970254101782e-05	chr14	-	55308723	55369542	GCH1	60819	57688	4.11371665731361	3.88656864899812	5.48815005304601	5.41977587935362
NM_000162	-2.29510343640415	1.01758049170621	1.3410761057697	0.246844283936021	0.713608227002027	chr7	-	44183869	44229022	GCK	45153	42076	0.110118750191404	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000163	-0.640302390154484	3.057258385296	1.40651817422807	0.235635257131771	0.713608227002027	chr5	+	42423876	42721980	GHR	298104	291366	2.63354483141591	3.35594005467096	1.92513743871843	2.77585831678083
NM_000164	1.13597931794221e-16	0.847704660240231	0	1	1	chr19	+	46171501	46185717	GIPR	14216	12014	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000165	-0.0842190001007776	4.84806139401996	0.0963871750895743	0.756209013601367	1	chr6	+	121756722	121770890	GJA1	14168	10999	4.59377739730193	5.00389028321953	4.55139256423631	4.88553894171402
NM_000168	0.00121036108631051	5.81905303838779	3.82838236192562e-05	0.995063206702748	1	chr7	-	42000547	42276618	GLI3	276071	266193	5.84466697775698	5.70358810229627	5.79709002887841	5.7592158076195
NM_000170	0.149576768391791	4.61532599659718	0.256754530434221	0.612358654833685	1	chr9	-	6532463	6645692	GLDC	113229	108340	4.82877876243898	3.88656864899812	4.80291502203973	4.32887886598774
NM_000171	-0.0328217285712778	3.13321310625615	0.00405809605032348	0.949206566942347	1	chr5	-	151202073	151304397	GLRA1	102324	99802	2.63354483141591	3.07346029647512	2.69539514878575	2.9625679000368
NM_000173	0.898347715381765	1.3071369863924	0.381618901296116	0.53673809877258	1	chr17	+	4835591	4838325	GP1BA	2734	233	-2.15229079618372	0.183051075411077	1.00815891186887	-2.15229079618372
NM_000174	1.13597931794221e-16	0.847704660240231	0	1	1	chr3	+	128779609	128781254	GP9	1645	751	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000178	0.0287496905461151	5.43258662128645	0.0167654554098871	0.896976673066815	1	chr20	-	33516235	33543601	GSS	27366	24626	5.39536070507608	5.33196850140599	5.42955760637876	5.35454012270813
NM_000179	-0.144473844265381	7.8573029670642	1.84678282469029	0.174158034981226	0.712880396374198	chr2	+	48010220	48034092	MSH6	23872	19179	7.96897201888447	7.86020787004854	7.88826414019317	7.64304501262286
NM_000180	2.34300422775739	1.01767751182839	1.42401811052013	0.23274317239051	0.713608227002027	chr17	+	7905987	7923658	GUCY2D	17671	11957	-2.15229079618372	-2.15229079618372	-2.15229079618372	0.228016396653699
NM_000182	-0.211552173914613	7.50400317899988	3.45121976938289	0.0632051092851059	0.46294657703273	chr2	-	26413503	26467594	HADHA	54091	44584	7.52956434371203	7.65397185794408	7.32288934803361	7.43789406368929
NM_000183	-0.012414025624966	7.96993576616065	0.0114930779437543	0.914625734972308	1	chr2	+	26467615	26513333	HADHB	45718	42441	8.0595385006335	7.86584897720723	7.93113258959727	7.97689250925538
NM_000184	1.13597931794221e-16	0.847704660240231	0	1	1	chr11	-	5274420	5276011	HBG2	1591	1008	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000186	0.131481872765948	8.02404612569447	1.84405213224515	0.174476754254106	0.712995531391671	chr1	+	196621007	196716634	CFH	95627	83604	8.08245612428486	7.79665473666345	8.18688740452069	7.96054375737778
NM_000187	-0.799214095314653	1.30714717201968	0.300308811416052	0.583688888510408	1	chr3	-	120347014	120401418	HGD	54404	51204	0.110118750191404	0.183051075411077	-2.15229079618372	0.228016396653699
NM_000189	0.197778535798826	4.64289799730238	0.459905303430723	0.497668233062449	0.981991727647392	chr2	+	75059781	75120481	HK2	60700	50738	4.11371665731361	4.73467942419336	4.24656196647965	4.97507118194961
NM_000190	-0.518995652185163	3.70538581314252	1.56687602799008	0.210661270771181	0.713608227002027	chr11	+	118955586	118964259	HMBS	8673	6116	3.88255580827882	3.59206327852463	3.32913604566826	3.12785946350557
NM_000191	-0.148213375659092	5.50587940082173	0.46378043122087	0.495862463254504	0.980196446658882	chr1	-	24128366	24151949	HMGCL	23583	21141	5.5348242142262	5.51542587583339	5.27173520794159	5.4821889814535
NM_000192	1.13597931794221e-16	0.847704660240231	0	1	1	chr12	-	114791734	114846247	TBX5	54513	49133	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000193	0.0512891020359855	1.16957786446269	0.000984687088049748	0.974966710967885	1	chr7	-	155595557	155604967	SHH	9410	7250	0.110118750191404	-2.15229079618372	0.161112339983076	-2.15229079618372
NM_000194	-0.133459227718339	5.26514911258932	0.320864144193632	0.571088788197722	1	chrX	+	133594174	133634698	HPRT1	40524	38872	5.39536070507608	5.12173603636882	5.16802846968315	5.0997419163853
NM_000195	-0.0159444534162836	7.55845443923304	0.0193630453737761	0.889330701472937	1	chr10	-	100175954	100206704	HPS1	30750	25233	7.58196903044983	7.52443233786977	7.50416981867059	7.57307828999433
NM_000196	1.13597931794221e-16	0.847704660240231	0	1	1	chr16	+	67465035	67471454	HSD11B2	6419	2192	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000197	1.13597931794221e-16	0.847704660240231	0	1	1	chr9	-	98997588	99064434	HSD17B3	66846	65671	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000199	-0.383674519625495	4.38690554387802	1.42677171201854	0.23229202015472	0.713608227002027	chr17	-	78183078	78194199	SGSH	11121	5444	4.37362327170938	4.52250363982977	3.76795790689237	4.32887886598774
NM_000200	1.13597931794221e-16	0.847704660240231	0	1	1	chr4	+	70894129	70902255	HTN3	8126	7548	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000201	4.86812415153184	10.2812023789776	2456.54016340965	0	0	chr19	+	10381516	10397291	ICAM1	15775	12527	6.20359431553165	6.52619401140665	11.1449584690625	11.3239925652346
NM_000202	0.419703248908343	5.69940581629287	3.76057382304543	0.0524745673852387	0.416942607210299	chrX	-	148560294	148586884	IDS	26590	19669	5.73322946321198	5.04425127881229	5.84271130794668	5.85667015771783
NM_000203	-0.345031000116508	5.20392922773989	2.0302335289541	0.154196912364325	0.672840129045448	chr4	+	980784	998345	IDUA	17561	7892	5.63743484075831	4.83010809837502	5.20343219420266	4.63389221964816
NM_000204	0.148458008316015	5.34661085363142	0.414508357158131	0.519690065432076	1	chr4	-	110661847	110723335	CFI	61488	58381	5.58704159846557	4.68448862877976	5.59864566805424	5.05937031926983
NM_000206	1.13597931794221e-16	0.847704660240231	0	1	1	chrX	-	70327253	70331481	IL2RG	4228	1505	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
